# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 149 stories read; 15454 spellings.
call sister	1	
call the	1	
call to	26	
call up	6	call up
call using	1	
call val	1	
call with	5	
calm	2	calm
camembert	1	
camilla	1	
can	1	can
cancel	2	cancel
cannibali	1	
cannibali down	1	
cannibali into	1	
cannibali on	1	
caper	1	caper
caper with	1	
captur	3	
captur for	2	
captur in	1	
captur with	1	
capture	5	capture
capture all	1	
capture everything	1	
capture from	1	
capture with	2	
carcass	1	
cardinal	1	
care	2	care
carefully	1	care
caress	3	caress
caress with	1	
cargo	1	
carr	3	
carry	97	carry
carry all	8	
carry apart	5	
carry at	1	
carry back	1	carry back
carry bath	2	
carry before	1	
carry behind	2	
carry bird	1	
carry blindfold	1	
carry bookcase	1	
carry breath	1	
carry brows	1	
carry cellar	1	
carry clothes	2	
carry cobweb	1	
carry cobwebs	1	
carry coffee	1	
carry confess	1	
carry confessio	1	
carry cover	1	
carry crap	1	
carry down	19	
carry dresse	4	
carry dressed	3	
carry drunk	5	
carry dump	1	
carry everythin	5	
carry everything	2	
carry eyebrow	1	
carry eyebrows	1	
carry flight	1	
carry for	1	
carry from	92	
carry hold	1	
carry in	44	
carry inside	1	
carry into	3	
carry inventory	54	
carry leak	3	
carry matches	1	
carry me	1	
carry my	2	
carry nap	2	
carry near	2	
carry nose	1	
carry of	5	
carry off	93	carry off
carry on	45	carry on
carry one	1	
carry onto	1	
carry out	44	carry out
carry over	4	carry over
carry page	1	
carry photo	1	
carry photograp	1	
carry picture	1	
carry piss	4	
carry pop	1	
carry puffin	1	
carry rest	1	
carry rid	1	
carry shelter	1	
carry shit	4	
carry shower	2	
carry some	1	
carry spiderweb	1	
carry spiderwebs	1	
